"date_start","country_territory_area","Mask","Business","Gathering","School","Movement","Travel","Binary","Ordinal"
2020-11-18,"China",NA,NA,NA,NA,NA,67,0,4
2020-11-19,"China",NA,NA,NA,NA,NA,67,0,4
2020-11-20,"China",NA,NA,NA,NA,NA,NA,0,6
2020-11-21,"China",NA,NA,NA,NA,NA,NA,0,5
2020-11-22,"China",NA,NA,NA,NA,NA,NA,0,5
2020-11-23,"China",NA,NA,NA,NA,NA,NA,0,3
2020-11-24,"China",NA,NA,NA,NA,NA,NA,0,2
2020-11-25,"China",NA,NA,NA,NA,NA,NA,0,2
2020-11-26,"China",NA,47,NA,NA,NA,NA,0,2
2020-11-27,"China",NA,NA,NA,NA,NA,NA,0,6
2020-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-30,"China",NA,NA,NA,NA,0,NA,0,1
2020-12-01,"China",NA,NA,NA,NA,NA,NA,1,3
2020-12-02,"China",NA,NA,NA,NA,NA,NA,0,4
2020-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-04,"China",NA,NA,NA,NA,NA,100,1,6
2020-12-05,"China",NA,NA,NA,NA,NA,17,0,1
2020-12-06,"China",NA,NA,NA,NA,0,NA,0,1
2020-12-07,"China",NA,47,NA,NA,NA,NA,0,2
2020-12-08,"China",NA,NA,NA,NA,NA,NA,0,5
2020-12-09,"China",NA,NA,NA,NA,NA,NA,0,1
2020-12-10,"China",NA,NA,NA,NA,NA,NA,0,3
2020-12-11,"China",NA,NA,NA,NA,NA,17,0,1
2020-12-12,"China",NA,NA,NA,NA,NA,17,0,1
2020-12-13,"China",NA,NA,NA,NA,NA,NA,0,2
2020-12-14,"China",NA,NA,NA,NA,NA,NA,0,4
2020-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-16,"China",NA,NA,NA,NA,NA,17,0,1
2020-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-18,"China",NA,NA,NA,NA,NA,NA,0,6
2020-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-21,"China",NA,NA,NA,NA,NA,NA,0,4
